reason,name,primary_type,address,website
out-of-area,"Brothers Cafe","american_restaurant","382 Grand Ave, South San Francisco, CA 94080, USA","http://brotherscafes.com/"
out-of-area,"Brothers Pizza","pizza_restaurant","3627 Taraval St #3629, San Francisco, CA 94116, USA","http://brotherspizzasfca.com/"
out-of-area,"Buona italia caffe","italian_restaurant","1610 Francisco Blvd, Pacifica, CA 94044, USA","https://buonaitaliacaffeca.com/"
out-of-area,"Camelot Fish and Chips","fish_and_chips_restaurant","70 W Manor Dr, Pacifica, CA 94044, USA","http://www.camelotfishandchips.com/"
out-of-area,"Chef Hunan","chinese_restaurant","4661 Mission St, San Francisco, CA 94112, USA",
out-of-area,"Chef Li's Cafe Hk B.B.Q","chinese_restaurant","2726 San Bruno Ave, San Francisco, CA 94134, USA","https://www.chefliscafeca.com/"
out-of-area,"Cheung Hing BBQ Seafood","chinese_restaurant","333 Grand Ave, South San Francisco, CA 94080, USA","https://smorefood.com/order-online/cheung-hing-bbq-seafood-south-san-francisco-94080-yerrnsx2?utm_source=gmb&utm_medium=website"
out-of-area,"Chico Marx","latin_american_restaurant","2 Tower Pl, South San Francisco, CA 94080, USA","https://www.chicomarxssf.com/"
out-of-area,"Chowking","chinese_restaurant","3589 Callan Blvd, South San Francisco, CA 94080, USA","https://locations.chowkingusa.com/ca/south-san-francisco/3589-callan-blvd?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=1361755"
out-of-area,"Cochinita","mexican_restaurant","334 Grand Ave, South San Francisco, CA 94080, USA","http://www.cochinitasf.com/"
out-of-area,"Cocina Milonga","argentinian_restaurant","308 Alida Way, South San Francisco, CA 94080, USA","https://www.cocinamilonga.com/"
out-of-area,"Colombo's Deli","deli","484 Manor Plaza, Pacifica, CA 94044, USA","https://www.colombosdeli.com/"
out-of-area,"Crispy Town","filipino_restaurant","3545 Callan Blvd, South San Francisco, CA 94080, USA",
out-of-area,"Curry Pizza House South San Francisco","pizza_restaurant","415 Grand Ave, South San Francisco, CA 94080, USA","https://currypizzahouse.com/locations/south-san-francisco-2/"
out-of-area,"Cypress Grill","american_restaurant","99 Harding Rd, San Francisco, CA 94132, USA","https://tpc.com/hardingpark/dining/"
out-of-area,"Dim Sum King","dim_sum_restaurant","4675 Mission St, San Francisco, CA 94112, USA","https://dimsumkingsf.com/"
