name,primary_type,address,website_url,reviews,rating,business_status,processed
"KIMCHI BOX","restaurant","4916 Center St Ste D, Tacoma, WA 98409, USA","https://www.clover.com/online-ordering/kimchi-box-tacoma-2",298,4.7,"OPERATIONAL",linked
"Lunar's Pho","vietnamese_restaurant","757 S 38th St, Tacoma, WA 98418, USA","https://www.lunarspho.com/",291,4.8,"OPERATIONAL",
"Twisted Fork Saloon","restaurant","5005 Main St, Tacoma, WA 98407, USA","http://twistedfs.com/",287,3.9,"OPERATIONAL",linked
"Mimi Teriyaki","restaurant","1901 M.L.K. Jr Way B, Tacoma, WA 98405, USA","https://mimiteriyaki.menu11.com/",286,4.5,"OPERATIONAL",
"Casa U Betcha","bar","4302 Pacific Ave, Tacoma, WA 98418, USA",,281,4.3,"OPERATIONAL",
"The Fuzion Cafe","asian_restaurant","6820 6th Ave, Tacoma, WA 98406, USA","https://fuzioncafe.toast.site/",281,4.6,"OPERATIONAL",
"Northwest Lumpia","filipino_restaurant","1607 Center St, Tacoma, WA 98409, USA","https://www.nwlumpia.com/",279,4.7,"OPERATIONAL",
"Zen ramen & sushi burrito","ramen_restaurant","1812 S Mildred St, Tacoma, WA 98465, USA","https://www.cdsmnm.com/ordering/restaurant/menu?restaurant_uid=27a9f737-11ad-4d71-b75a-f8b97abc496d&client_is_mobile=true&return_url=https%3A%2F%2Fwww.zenramenbrothers.com%2F",276,4.6,"OPERATIONAL",linked
"Golden West Restaurant-Lounge","bar_and_grill","5228 S Tacoma Way, Tacoma, WA 98409, USA",,271,4.2,"OPERATIONAL",
"California Burrito & Taco Shop","mexican_restaurant","6702 6th Ave, Tacoma, WA 98406, USA","https://californiaburritoandtacosshop.com/",269,4.0,"OPERATIONAL",
"Joy Teriyaki - 6th Ave","japanese_restaurant","3908 6th Ave C, Tacoma, WA 98406, USA","https://www.joyteriyaki6thave.com/",260,3.6,"OPERATIONAL",
"Pho V & V Vietnamese Restaurant","vietnamese_restaurant","5434 S Tacoma Way, Tacoma, WA 98409, USA","https://www.phovandv.com/",258,3.3,"OPERATIONAL",
"Tami's In Tacoma","bar","4034 E McKinley Ave, Tacoma, WA 98404, USA",,258,4.5,"OPERATIONAL",
"Manuscript","restaurant","203 Tacoma Ave S, Tacoma, WA 98402, USA","https://manuscripttacoma.com/?utm_source=google",249,4.4,"OPERATIONAL",
"Cravin’ Crawfish","seafood_restaurant","5015 Tacoma Mall Blvd E-101, Tacoma, WA 98409, USA",,246,4.2,"OPERATIONAL",
"Cider & Cedar","bar","744 Market St UNIT 102B, Tacoma, WA 98402, USA","http://www.ciderandcedar.com/",239,4.9,"OPERATIONAL",
"What a Catch","seafood_restaurant","5115 Grand Loop, Tacoma, WA 98407, USA","https://www.wildfinamericangrill.com/whatacatchtacoma",234,3.6,"OPERATIONAL",
"bite","american_restaurant","1320 Broadway, Tacoma, WA 98402, USA","https://www.hotelmuranotacoma.com/dining/bite/",230,4.2,"OPERATIONAL",
"MIMI TERIYAKI #2","japanese_restaurant","759 S 64th St, Tacoma, WA 98408, USA","https://www.instagram.com/mimiteriyaki2?igsh=aDNlcm40dTNuYzdp",227,4.8,"OPERATIONAL",
"Urban Elk Bar & Restaurant","restaurant","2013 S Cedar St #300, Tacoma, WA 98405, USA","https://allenmoregolfcourse.com/restaurant/",221,4.1,"OPERATIONAL",
"The SandBar & Grill","bar","1941 Marine View Dr, Tacoma, WA 98422, USA","https://www.thesandbarandgrill.net/",213,4.3,"OPERATIONAL",linked
"Lucky Silver Tavern","bar","2605 S Tacoma Way, Tacoma, WA 98409, USA","https://www.theluckysilver.com/",207,4.4,"OPERATIONAL",
"Pho Garden","vietnamese_restaurant","3202 S 23rd St Suite F2, Tacoma, WA 98405, USA","https://phogardentacomawa.com/",203,4.3,"OPERATIONAL",
"Home Plate Tavern","bar","1042 S Sprague Ave, Tacoma, WA 98405, USA",,200,4.3,"OPERATIONAL",
"Pho Tai","vietnamese_restaurant","4916 Center St #2348, Tacoma, WA 98409, USA",,198,4.4,"OPERATIONAL",
"Bob's BBQ Pit","barbecue_restaurant","911 S 11th St, Tacoma, WA 98405, USA","http://bobsbarbq.yolasite.com/",196,4.2,"OPERATIONAL",
"Cambodian and Chinese Fast Food","asian_restaurant","1901 S 72nd St, Tacoma, WA 98408, USA",,185,4.4,"OPERATIONAL",
"Yaki Raki","restaurant","3202 S 23rd St Suite F7, Tacoma, WA 98405, USA","https://yakiraki.com/",184,4.6,"OPERATIONAL",
"Cafe La Vie","vietnamese_restaurant","3724 S Yakima Ave, Tacoma, WA 98418, USA","https://cafelavietacoma.square.site/",184,4.6,"OPERATIONAL",
"North 47 Brewing Co.","brewery","1000 Town Center NE #160, Tacoma, WA 98422, USA","https://www.north47brewery.com/",181,4.8,"OPERATIONAL",
"Parky's Pizza Bar","restaurant","3551 McKinley Ave, Tacoma, WA 98404, USA","https://www.parkyspizzabar.com/",179,4.6,"OPERATIONAL",
"Fast Pho Teriyaki","restaurant","5604 Portland Ave E 5608 ste D, Tacoma, WA 98404, USA",,171,3.7,"OPERATIONAL",
"Lechon Loco","filipino_restaurant","3511 McKinley Ave, Tacoma, WA 98404, USA","https://www.lechonlocorestaurant.com/",169,4.5,"OPERATIONAL",
"Family Pho","family_restaurant","5015 Tacoma Mall Blvd A103, Tacoma, WA 98409, USA","https://familypho.com/?utm_source=google&utm_medium=maps&utm_campaign=website",158,4.7,"OPERATIONAL",
