city,action,venue,primary_type,reviews,website,reason
"san-francisco",hide,"Pancho's",mexican_restaurant,432,"http://www.sfpanchos.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Ushi Taro Ramen Sunset",ramen_restaurant,430,"https://ushi-taro-ramen.square.site/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"3rd Cousin",restaurant,428,"https://www.3rdcousinsf.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"South Beach Cafe",restaurant,427,"http://southbeachcafe.net/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Hummus Mediterranean Kitchen",mediterranean_restaurant,426,"https://www.eatathummus.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Frascati",italian_restaurant,425,"http://www.frascatisf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Lucho’s",restaurant,420,"http://luchos.net/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"North Beach Pizza",pizza_restaurant,411,"https://northbeachpizza.com/northbeachpizzagrant?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"El Mansour",moroccan_restaurant,406,"https://www.elmansour.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Okane",japanese_izakaya_restaurant,397,"http://www.okanesf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Serafina",italian_restaurant,393,"http://serafina-sf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Delfina Restaurant",italian_restaurant,391,"https://www.delfinasf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Eclipse Kitchen & Bar",american_restaurant,390,"https://www.hyatt.com/en-US/hotel/california/hyatt-regency-san-francisco/sfors/dining?src=corp_outlets_gmb_seo_SFORSR1","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Savor Cafe",vegetarian_restaurant,390,"https://savor.menu/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Dim Sum Club 點心薈",dim_sum_restaurant,389,"http://dimsumclub-sf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Fiore Caffe",italian_restaurant,383,"https://caffefioresf.com/?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Jijime",restaurant,383,"http://www.jijime.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pagan Restaurant",burmese_restaurant,383,"https://pagansf.com/?utm_source=google","restaurant w/ working site (alcohol-only policy)"
